"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
orpha_code,clinical_data,,text,"ORPHA Code",BIOPORTAL:ORDO,,,,,,,,,,,," @DEFAULT=""ORPHA:803"" @HIDDEN"
als_symp_other_old,clinical_data,,checkbox,"Other Symptoms","1, Other",,,,,,,,,,,," @HIDDEN"
anthr_tbl1,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9679%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 100%; text-align: center;""> <h5 style=""text-align: center;""><span style=""color: #ffffff;""><strong>METABOLIC DATA</strong></span></h5> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
anthr_tbl4,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 10px; background-color: #003b75;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.8939%; text-align: center; height: 10px;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>REFERENCE ANTHROPOMETRIC INFORMATION</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.065%; height: 165.062px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 25px;""> <td style=""width: 100.066%; text-align: left; height: 25px;"">Height: {height} <span style=""font-weight: normal;"">cm</span></td> </tr> <tr style=""height: 25px;""> <td style=""width: 100.066%; text-align: left; height: 25px;"">Weight at diagnosis: {weight_at_diagnosis} <span style=""font-weight: normal;"">kg on </span>[date_diagnosis] <span style=""font-weight: normal;"">([age_diagnosis] y.o.)</span></td> </tr> <tr style=""height: 25px;""> <td style=""width: 100.066%; text-align: left; height: 25px;"">Body Mass Index at diagnosis: [bmi_at_diagnosis] <span style=""font-weight: normal;"">([basic_arm_1][bmi_at_diagnosis_status])</span></td> </tr> <tr style=""height: 25px;""> <td style=""width: 100.066%; text-align: left; height: 25px;""> </td> </tr> <tr style=""height: 28.0625px;""> <td style=""width: 100.066%; height: 28.0625px; text-align: left;"">Premorbid Weight: {weight_reference}<span style=""font-weight: normal;""> kg on</span> {weight_reference_date} <span style=""font-weight: normal;"">([weight_ref_age] y.o.)</span></td> </tr> <tr style=""height: 12px;""> <td style=""width: 100.066%; height: 12px; text-align: left;"">Premorbid Body Mass Index: [bmi_reference]<span style=""font-weight: normal;""> ([basic_arm_1][bmi_reference_status])</span></td> </tr> <tr style=""height: 25px;""> <td style=""width: 100.066%; text-align: center; height: 25px;""><em><span style=""color: #e03e2d;"">Please, ""Save and Stay"" once you have introduced the Anthropometric Information</span></em></td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
anthr_tbl3,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 11.1541px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 11.1541px;""> <td style=""width: 100.066%; text-align: left; height: 11.1541px;"">Latest Body Mass Index of [visits_arm_1][bmi_current][last-instance] ([visits_arm_1][bmi_current_status][last-instance]) on [visits_arm_1][weight_current_date][last-instance] <span style=""font-weight: normal;"">([visits_arm_1][bmi_current_age][last-instance] y.o.)</span></td> </tr> </tbody> </table></div>",,,,,,,[aggregate-count:weight_current_date:record-name]>0,,,,,,
anthr_tbl2,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 10px; background-color: #003b75;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.8939%; text-align: center; height: 10px;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>WEIGHT AND BMI EVOLUTION</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.063%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8117%; text-align: center;""><em><span style=""color: #e03e2d;"">Please, ""Save and Stay"" before introducing new information</span></em></td> </tr> </tbody> </table></div>",,,,,,,,,,,,," @INSTANCETABLE=visits_arm_1:weight_and_bmi"
height,clinical_data,,text,Height,,cm,number,0,250,,,y,LV,,,,
weight_at_diagnosis,clinical_data,,text,"Weight at diagnosis",,Kg,number,0,300,,,y,LV,,,,
bmi_at_diagnosis,clinical_data,,calc,"BMI at diagnosis","round(([weight_at_diagnosis]*10000)/(([height])^(2)), 1)",,,,,,,,LV,,,," @HIDDEN"
bmi_at_diagnosis_status,clinical_data,,text,"Premorbid BMI Status",,,,,,,,,LV,,,," @HIDDEN @CALCTEXT(
if(round(([basic_arm_1][weight_at_diagnosis]*10000)/(([basic_arm_1][height])^(2)), 1)< 18.5,
    'underweight',
    if(round(([basic_arm_1][weight_at_diagnosis]*10000)/(([basic_arm_1][height])^(2)))<=24.9,
        'healthy weight',
        if(round(([basic_arm_1][weight_at_diagnosis]*10000)/(([basic_arm_1][height])^(2)), 1)<=29.9,
            'overweight',
            if(round(([basic_arm_1][weight_at_diagnosis]*10000)/(([basic_arm_1][height])^(2)), 1)>29.9,
            'obese',
            ' ')))))"
weight_reference,clinical_data,,text,"Premorbid weight",,Kg,number,0,300,,,y,LV,,,,
weight_reference_date,clinical_data,,text,"Premorbid weight date",,,date_dmy,[basic_arm_1][dob],[basic_arm_1][date_diagnosis],y,,y,LV,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
bmi_reference,clinical_data,,calc,"Premorbid BMI","round(([weight_reference]*10000)/(([height])^(2)), 1)",,,,,,,,LV,,,," @HIDDEN"
weight_ref_age,clinical_data,,calc,"Age at premorbid weight","round(datediff([basic_arm_1][weight_reference_date],[basic_arm_1][dob],'y'),2)",,,,,,,,LV,,,," @HIDDEN"
bmi_reference_status,clinical_data,,text,"Premorbid BMI Status",,,,,,,,,LV,,,," @HIDDEN @CALCTEXT(
if(round(([basic_arm_1][weight_reference]*10000)/(([basic_arm_1][height])^(2)), 1)< 18.5,
    'underweight',
    if(round(([basic_arm_1][weight_reference]*10000)/(([basic_arm_1][height])^(2)))<=24.9,
        'healthy weight',
        if(round(([basic_arm_1][weight_reference]*10000)/(([basic_arm_1][height])^(2)), 1)<=29.9,
            'overweight',
            if(round(([basic_arm_1][weight_reference]*10000)/(([basic_arm_1][height])^(2)), 1)>29.9,
            'obese',
            ' ')))))"
anthr_tbl5,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 10px; background-color: #003b75;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.8939%; text-align: center; height: 10px;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>ADVANCED METABOLIC INFORMATION</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.063%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8117%; text-align: justify;"">Add advanced metabolic data?   {metabolic}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
metabolic,clinical_data,,radio,"Advanced Metabolic Data","0, No | 1, Yes",,,,,,,y,RH,,,,
anthr_tbl6,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.063%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8117%; text-align: center;""><em><span style=""color: #e03e2d;"">Please, ""Save and Stay"" before introducing new information</span></em></td> </tr> </tbody> </table></div>",,,,,,,[metabolic]=1,,,,,," @INSTANCETABLE=visits_arm_1:metabolic_data
@INSTANCETABLE_VARLIST=date_metabolic,adv_anthr,impedance,predimed,calorimetria,ecomusc,eco_abd"
adv_neurol_exam_tbl1,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h5 style=""text-align: center;""><span style=""color: #ffffff;""><strong>VITAL SIGNS DATA</strong></span></h5> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.031%; height: 17.4259px;"" border=""0""><colgroup><col style=""width: 99.8584%;""></colgroup> <tbody> <tr style=""height: 17.4259px;""> <td style=""text-align: justify;""><span style=""color: #000000;"">Add advanced information about vital signs data?   {vital_signs}</span></td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
adv_neurol_exam_tbl13,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.031%; height: 23.4259px;"" border=""0""><colgroup><col style=""width: 99.8584%;""></colgroup> <tbody> <tr style=""height: 23.4259px;""> <td style=""text-align: center;""><span style=""color: #e03e2d;""><em>Please, ""Save and Stay"" before introducing new information</em></span></td> </tr> </tbody> </table></div>",,,,,,,[vital_signs]=1,,,,,," @INSTANCETABLE=visits_arm_1:vital_signs_data
@INSTANCETABLE_VARLIST=date_vital_signs,heart_rate,respiratory_rate,systolic_pressure,diastolic_pressure,temperature"
vital_signs,clinical_data,,radio,"Vital signs data available","0, No | 1, Yes",,,,,,,y,LH,,,,
onset_tbl4,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""><colgroup><col style=""width: 99.8586%;""></colgroup> <tbody> <tr> <td style=""text-align: center;""><span style=""font-size: 20px; color: #ffffff;"">BRIEF NEUROLOGICAL EXAMINATION</span></td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.057%; height: 62.0208px;"" border=""0""><colgroup><col style=""width: 99.8584%;""></colgroup> <tbody> <tr> <td style=""text-align: center;""> <p>According to UMN or LMN impairment, how do you classify this patient?</p> <p>{clinical_phenotype}</p> <p><span style=""font-size: 8pt; font-weight: normal;"">UMN predominant impairment: No or minimal/equivocal signs of LMN</span></p> <p><span style=""font-size: 8pt; font-weight: normal;"">LMN predominant impairment: No or minimal/equivocal signs of UMN</span></p> </td> </tr> <tr style=""height: 37.5069px;""> <td style=""text-align: center;""><span style=""color: #e03e2d;""><em style=""text-align: center;"">Please, ""Save and Stay"" before introducing new information</em></span></td> </tr> <tr style=""height: 24.5139px;""> <td style=""text-align: left;""><span style=""color: #000000;""><span style=""text-align: center;"">Add information about the UMN and LMN affected according to the body regions</span></span></td> </tr> </tbody> </table></div>",,,,,,,,,,,,," @INSTANCETABLE=visits_arm_1:neurological_examination"
clinical_phenotype,clinical_data,,radio,"Clinical phenotype ","1, Classical ALS | 2, UMN predominant impairment | 3, LMN predominant impairment",,,,,,,y,RH,,,,
strength_tbl,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 24.5139px;"" border=""0""> <tbody> <tr style=""height: 24.5139px;""> <td style=""width: 99.8939%; text-align: left;"">Is Grip or Dynamometry evaluation available? {strength}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
strength,clinical_data,,radio,"Strenght evaluation?","0, No | 1, Yes | 98, Unknown",,,,,,,y,,,,,
strength_tbl1,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75; height: 10px;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.8939%; text-align: center; height: 10px;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>Grip or Dynamometry assessment</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d; text-align: center;"">Please, ""Save and Stay"" before introducing new data</span></em></td> </tr> </tbody> </table></div>",,,,,,,"[strength] = '1'",,,,,," @INSTANCETABLE=visits_arm_1:strength_data
@INSTANCETABLE_VARLIST=strength_date,grip_r,grip_l,dynam_rh,dynam_lh,dynam_re,dynam_le"
onset_tbl9,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.066%; height: 24.463px;"" border=""0""> <tbody> <tr style=""height: 24.463px;""> <td style=""width: 99.9109%;"" colspan=""2"">Add advanced information about neurological examination data?   {neuromus_data}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
neuromus_data,clinical_data,,radio,"Neuromuscular examination data available","0, No | 1, Yes",,,,,,,y,LH,,,,
onset_tbl7,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; background-color: #003b75;"" border=""0""><colgroup><col style=""width: 99.8582%;""></colgroup> <tbody> <tr> <td><span style=""font-size: 12pt; color: #ecf0f1;"">ADVANCED NEUROLOGICAL EXAMINATION</span></td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.057%; height: 25px;"" border=""0""><colgroup><col style=""width: 99.8584%;""></colgroup> <tbody> <tr style=""height: 25px;""> <td style=""text-align: center;""><span style=""color: #e03e2d;""><em style=""text-align: center;"">Please, ""Save and Stay"" before introducing new information</em></span></td> </tr> </tbody> </table></div>",,,,,,,"[neuromus_data] = '1'",,,,,," @INSTANCETABLE=visits_arm_1:advanced_neurological_examination
@INSTANCETABLE_VARLIST=neuromuscular_date,mrc_total,umn_total,dysarthria,lmn_signs_bulbar,umn_signs_bulbar,lmn_signs_cervical,umn_signs_cervical,gait,lmn_signs_lumbar,umn_signs_lumbar,extrapyr,cereb,sensory"
milestones_tbl1,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""><colgroup><col style=""width: 99.8586%;""></colgroup> <tbody> <tr> <td style=""text-align: center;""><span style=""font-size: 20px; color: #ffffff;"">CLINICAL ENDPOINTS</span></td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.057%; height: 49.3333px;"" border=""0""><colgroup><col style=""width: 99.9911%;""></colgroup> <tbody> <tr style=""height: 24.6667px;""> <td style=""width: 100.021%; text-align: center;""><span style=""color: #e03e2d;""><em>Please, ""Save and Stay"" once completed</em></span></td> </tr> <tr style=""height: 24.6667px;""> <td style=""width: 100.021%; text-align: left;"">Speech Loss: {speech_loss}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
milestones_tbl3,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 27.3333px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 27.3333px;""> <td style=""width: 99.9359%; text-align: left;"">Speech Loss Date: {speech_loss_date} <span style=""font-weight: normal;"">([speech_loss_age] y.o.)</span></td> </tr> </tbody> </table></div>",,,,,,,"[speech_loss] = '1'",,,,,,
speech_loss,clinical_data,,radio,"Speech Loss","0, No | 1, Yes | 98, Unknown",,,,,,,y,LH,,,," @DEFAULT='0'"
speech_loss_date,clinical_data,,text,"Speech loss date",,,date_dmy,[basic_arm_1][dob],today,y,"[speech_loss] = '1'",y,LH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
speech_loss_age,clinical_data,,calc,"Speech loss Age","round(datediff([speech_loss_date],[basic_arm_1][dob],'y'),2)",,,,,,"[speech_loss] = '1'",,LV,,,," @HIDDEN"
milestones_tbl5,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.057%;"" border=""0""><colgroup><col style=""width: 99.9911%;""></colgroup> <tbody> <tr> <td style=""width: 100.021%; text-align: left;"">Loss of ambulation: {ambulation_loss}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
milestones_tbl4,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 27.3333px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 27.3333px;""> <td style=""width: 99.9359%; text-align: left;"">Ambulation Loss Date: {ambulation_loss_date} <span style=""font-weight: normal;"">([ambulation_loss_age] y.o.)</span></td> </tr> </tbody> </table></div>",,,,,,,"[ambulation_loss] = '1'",,,,,,
ambulation_loss,clinical_data,,radio,"Ambulation Loss","0, No | 1, Yes | 98, Unknown",,,,,,,y,LH,,,," @DEFAULT='0'"
ambulation_loss_date,clinical_data,,text,"Ambulation loss date",,,date_dmy,[basic_arm_1][dob],today,y,"[speech_loss] = '1'",y,LH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
ambulation_loss_age,clinical_data,,calc,"Ambulation loss Age","round(datediff([ambulation_loss_date],[basic_arm_1][dob],'y'),2)",,,,,,"[speech_loss] = '1'",,LV,,,," @HIDDEN"
respiratory_tbl6,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 10px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.9359%; height: 10px; text-align: left;"">Tracheostomy indicated: {tracheostomy_ind}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
respiratory_tbl9,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 10px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 100.021%; height: 10px; text-align: left;"">Tracheostomy indication Date:<span style=""font-weight: normal;""> </span>{tracheostomy_ind_date} <span style=""font-weight: normal;"">([tracheostomy_ind_age] y.o.) </span></td> </tr> </tbody> </table></div>",,,,,,,"[tracheostomy_ind] = '1'",,,,,,
tracheostomy_ind,clinical_data,,radio,"Tracheostomy Indication","0, No | 1, Yes | 98, Unknown",,,,,,,y,LH,,,,
tracheostomy_ind_date,clinical_data,,text,"Tracheostomy indication date",,,date_dmy,[basic_arm_1][dob],today,y,"[tracheostomy_ind] = '1'",y,LH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
tracheostomy_ind_age,clinical_data,,calc,"Tracheostomy indication Age","round(datediff([tracheostomy_ind_date],[basic_arm_1][dob],'y'),2)",,,,,,"[tracheostomy_ind] = '1'",,LV,,,," @HIDDEN"
milestones_tbl9,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9527%;"" border=""0""><colgroup><col style=""width: 99.9541%;""></colgroup> <tbody> <tr> <td>Non invasive ventilation indicated: {niv_indicated}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
niv_indicated_date,clinical_data,,text,"NIV indicated date",,,date_dmy,[basic_arm_1][dob],today,y,"[niv_indicated] = '1'",y,LH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
respiratory_tbl11,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 10px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 100.021%; height: 10px; text-align: left;"">NIV indicated Date:<span style=""font-weight: normal;""> </span>{niv_indicated_date} <span style=""font-weight: normal;"">([niv_indicated_age] y.o.) </span></td> </tr> </tbody> </table></div>",,,,,,,"[niv_indicated] = '1'",,,,,,
niv_indicated_age,clinical_data,,calc,"NIV indicated Age","round(datediff([niv_indicated_date],[basic_arm_1][dob],'y'),2)",,,,,,"[niv_indicated] = '1'",,LV,,,," @HIDDEN"
niv_indicated,clinical_data,,radio,"NIV indicated","0, No | 1, Yes | 98, Unknown",,,,,,,y,LH,,,,
milestones_tbl7,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9527%;"" border=""0""><colgroup><col style=""width: 99.9541%;""></colgroup> <tbody> <tr> <td>Non invasive ventilation >22h: {niv_22h} <span style=""font-weight: normal;"">(NIV for more than 7 days and 22h a day without intercurrent infection)</span></td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
milestones_tbl8,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 10px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 100.021%; height: 10px; text-align: left;"">NIV >22H Date:<span style=""font-weight: normal;""> </span>{niv_22h_date} <span style=""font-weight: normal;"">([niv_22h_age] y.o.) </span></td> </tr> </tbody> </table></div>",,,,,,,"[niv_22h] = '1'",,,,,,
niv_22h,clinical_data,,radio,"NIV >22H","0, No | 1, Yes | 98, Unknown",,,,,,,y,LH,,,,
niv_22h_date,clinical_data,,text,"NIV >22H date",,,date_dmy,[basic_arm_1][dob],today,y,"[niv_22h] = '1'",y,LH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
niv_22h_age,clinical_data,,calc,"NIV >22H Age","round(datediff([niv_22h_date],[basic_arm_1][dob],'y'),2)",,,,,,"[niv_22h] = '1'",,LV,,,," @HIDDEN"
respiratory_tbl7,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 100.053%; text-align: left;""><span style=""color: #e03e2d;"">Remember to include a new instance in the [visits_arm_1][form-link:kings_scale:KINGS SCALE Data form][new-instance] accordingly!</span></td> </tr> </tbody> </table></div>",,,,,,,"[niv_22h] = 1 or [tracheostomy_ind]=1",,,,,,
milestones_tbl6,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.057%;"" border=""0""><colgroup><col style=""width: 99.9911%;""></colgroup> <tbody> <tr> <td style=""width: 100.021%; text-align: left;"">Gastrostomy indicated: {gast_carrier_ind}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
milestones_tbl2,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 10px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.9359%; text-align: left; height: 10px;"">Gastrostomy indication Date: {gast_ind_date} <span style=""font-weight: normal;"">([gast_ind_age] y.o.)</span></td> </tr> <tr> <td style=""width: 99.9359%; text-align: left;""><span style=""color: #e03e2d;"">Remember to include a new instance in the [visits_arm_1][form-link:kings_scale:KINGS SCALE Data form][new-instance] accordingly!</span></td> </tr> </tbody> </table></div>",,,,,,,"[gast_carrier_ind] = '1'",,,,,,
gast_carrier_ind,clinical_data,,radio,"Gastrostomy Indication","0, No | 1, Yes | 98, Unknown",,,,,,,y,LH,,,," @DEFAULT='0'"
gast_ind_date,clinical_data,,text,"Gastrostomy Indication date",,,date_dmy,[basic_arm_1][dob],today,y,"[gast_carrier_ind] = '1'",y,LH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
gast_ind_age,clinical_data,,calc,"Gastrostomy Indication Age","round(datediff([gast_ind_date],[basic_arm_1][dob],'y'),2)",,,,,,"[gast_carrier_ind] = '1'",,LV,,,," @HIDDEN"
assessment_tbl2,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; background-color: #003b75; height: 39.4549px;"" border=""0""> <tbody> <tr style=""height: 39.4549px;""> <td style=""width: 99.8797%; text-align: center; height: 39.4549px;"" colspan=""2""> <h5 style=""text-align: center;""><span style=""color: #ffffff;""><strong>SCALES</strong></span></h5> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9342%; height: 122.569px;"" border=""0""> <tbody> <tr style=""height: 24.5139px;""> <td style=""width: 99.9728%; text-align: left;"">Has the patient undergone the ALSFRS-R assessment? {alsfrs_data}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.9728%; text-align: left;"">Has the patient undergone a cognitive and behavioural assessment? {cognitive_data}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.9728%; text-align: left;"">Is the KINGS scale available? {kings_data}</td> </tr> <tr> <td style=""width: 99.9728%; text-align: left;"">Has the patient undergone the EQ-5D-5L assessment? {eq_5d_5l_data}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.9728%; text-align: left;"">Is the Clinical Global Impression of Change (CGIC) information available? {cgic_data}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.9728%; text-align: left;"">Is the Patient Global Impression of Change (PGIC) information available? {pgic_data}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
alsfrs_data,clinical_data,,radio,"ALSFRS available?","0, No | 1, Yes | 98, Unknown",,,,,,,y,,,,," @DEFAULT='98' @COLUMNS=3"
cognitive_tbl5,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>ALSFRS-R</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d;"">Please, ""Save and Stay"" before introducing new data</span></em></td> </tr> </tbody> </table></div>",,,,,,,[alsfrs_data]=1,,,,,," @INSTANCETABLE=visits_arm_1:alsfrs"
cognitive_data,clinical_data,,radio,"Cognitive assessment available?","0, No | 1, Yes | 98, Unknown",,,,,,,,,,,," @DEFAULT='98' @COLUMNS=3"
cognitive_tbl4,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>COGNITIVE & BEHAVIOURAL ASSESSMENT</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d;"">Please, ""Save and Stay"" before introducing new data</span></em></td> </tr> </tbody> </table></div>",,,,,,,[cognitive_data]=1,,,,,," @INSTANCETABLE=visits_arm_1:cognitive_assessment
@INSTANCETABLE_VARLIST=cognitive_date,nps_cognitive_test,nps_cognitive_test_other,ecas_als_spe_dic,ecas_als_non_spe_dic,ecas_total,psychosis_total,dementia"
kings_data,clinical_data,,radio,"KINGS Assessment available?","0, No | 1, Yes | 98, Unknown",,,,,,,y,,,,," @DEFAULT='98' @COLUMNS=3"
kings_tbl6,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>KINGS SCALE</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d; text-align: center;"">Please, ""Save and Stay"" before introducing new data</span></em></td> </tr> </tbody> </table></div>",,,,,,,[kings_data]=1,,,,,," @INSTANCETABLE=visits_arm_1:kings_scale"
cognitive_tbl8,clinical_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>EQ-5D-5L</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""><em><span style=""color: #e03e2d;"">Please, ""Save and Stay"" before introducing new data</span></em></td> </tr> </tbody> </table></div>",,,,,,,"[eq_5d_5l_data] = '1'",,,,,," @INSTANCETABLE=visits_arm_1:eq_5d_5l"
eq_5d_5l_data,clinical_data,,radio,"EQ-5D-5L available?","0, No | 1, Yes | 98, Unknown",,,,,,,y,,,,," @DEFAULT='98' @COLUMNS=3"
